番号,品目,図番,品名,列1,列2,列3
52,45TUA6046004501,【R】TUA60-46004-501,TUGｳｪｲﾄ2(TUA60),,,
53,45TUA6060104500S3,【R】TUA60-S3-60104-500,ﾋﾟｯﾄﾌﾚｰﾑ(TUA60-S3)EG-ZN-C付,,,
54,45TUA6060118500,【R】TUA60-60118-500,安全ｽｲｯﾁ作動板A(TUA60),,,
55,45TUA60601195A0,【R】TUA60-60119-5A0,安全ｽｲｯﾁ作動板B(TUA60),,,
56,45TUA6060148501S35,【R】TUA60-S35-60148-501,安全ｽｲｯﾁ作動板A(TUA60-S35)EG-ZN-C付,,,
57,45TUA6060151500S35,【R】TUA60-S35-60151-500,ﾋﾟｯﾄﾌﾚｰﾑ2(TUA60-S35),,,
58,45TUA6060160500,【R】TUA60-60160-500,ﾋﾟｯﾄﾌﾚｰﾑ1(TUA60),,,
59,45TUA6060161500,【R】TUA60-60161-500,ﾋﾟｯﾄﾌﾚｰﾑ2(TUA60),,,
60,45TUA6060162500,【R】TUA60-60162-500,ﾋﾟｯﾄﾌﾚｰﾑ3(TUA60),,,
61,45TUA6060164501,【R】TUA60-60164-501,安全ｽｲｯﾁ作動板C(TUA60),,,
62,45TUA6060165500,【R】TUA60-60165-500,安全ｽｲｯﾁ作動板D(TUA60),,,
63,45TUA6060168500S2,【R】TUA60-S2-60168-500,別置きﾋﾟｯﾄﾌﾚｰﾑ2(TUA60-S2),,,
64,45TUA60603035A0,【R】TUA60-60303-5A0,ﾒｲﾝSW取付板(TUA60),,,
65,45TUA60603165A1,【R】TUA60-60316-5A1,防水板(TUA60),,,
66,45TUA60603175A1,【R】TUA60-60317-5A1,端末板(TUA60),,,
67,45TUA60643025A0,【R】TUA60-64302-5A0,ｴｱｰ減圧弁取付板(TUA60),,,
68,45TUA60685045A0,【R】TUA60-68504-5A0,除菌ｶｰﾄﾘｯｼﾞ固定板W(TUA60),,,
69,45TUA60685085A0,【R】TUA60-68508-5A0,除菌ｶｰﾄﾘｯｼﾞ取付板A(TUA60),,,
70,45TUA6092122502,【R】TUA60-92122-502,ﾍｯﾄﾞﾚｽﾄ取付板(TUA60),,,
71,45TUA60961024B1,【R】TUA60-96102-4B1,ｱｰﾑﾚｽﾄ芯材(DH)ASSY(TUA60)EG-ZN-C付,自動品,通い箱1：12本,78/月
72,45TUA60962024B1,【R】TUA60-96202-4B1,ｱｰﾑﾚｽﾄ芯材(Dr)ASSY(TUA60)EG-ZN-C付,自動品,通い箱1：12本,145/月
73,45TUA60974014F0,【R】TUA60-97401-4F0,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(TUA60)EG-ZN-C付,,,
74,45TUA6097428400S27,【R】TUA60-S27-97428-400,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(TUA60)EG-ZN-C付,,,
75,45TUA60974294A0S43,【R】TUA60-S43-97429-4A0,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(TUA60-S43),,,
76,45TUA60975014F0,【R】TUA60-97501-4F0,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(昇降)(TUA60)EG-ZN-C,,,
77,45TUA6097502400S27,【R】TUA60-S27-97502-400,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(昇降)(TUA60)EG-ZN-C付,,,
78,45TUA6031321501,【R】TUA60-31321-501,TUGｳｴｲﾄ(TUA60),,,
79,452565345003,【R】[ﾊﾞﾙｸ]TU97 3450-3,ﾎﾙﾀﾞｰ固定軸(TU97),自動品,,
80,45TUA6004337500,【R】TUA60-04337-500,DHｱｰﾑﾍﾞｰｽ(TUA60)EG-ZN-C付,自動品,,
81,45TUA6000001500E71,【R】TUA60-E71-00001-500,ﾎﾙﾀﾞｰ押え板(TUA60-E71),,,
82,45TUA60327085A0,【R】TUA60-32708-5A0,SPｱｼﾞｬｽﾀｰ(TUA60),,,
83,雑コード,,ﾋﾟｯﾄﾌﾚｰﾑR TUA60-S57 62074-500 ,単価：206,,
84,雑コード,,ﾋﾟｯﾄﾌﾚｰﾑL TUA60-S57 62073-500 ,単価：66,,
85,雑コード,,ｼﾙﾝﾀﾞｰﾓｰﾙﾄﾞ固定板TUA60 66126-500,単価：15,,
86,45TUA6011118500,【R】TUA60-11118-500,板金ｽﾍﾟｰｻｰ,,,
87,45TUA60146025B1,【R】TUA60-14602-5B1,ﾍﾞｰｽﾝ回転軸 OP電動ﾍﾞｰｽﾝ(TUA60),,,
,TUA40,,,,,
88,45TUA40141195A1,【R】TUA40-14119-5A1,ﾍﾞｰｽﾝﾍﾞｰｽ (固定)(TUA40)EG-ZN-C付,,,
89,45TUA40141225A0,【R】TUA40-14122-5A0,ﾍﾞｰｽﾝﾍﾞｰｽ 横(TUA40)EG-ZN-C付,,,
90,45TUA4015002501,【R】TUA40-15002-501,PCB ﾎﾙﾀﾞｰ(TUA40),,,
91,45TUA4041229400S16,【R】TUA40-S16-41229-400,ﾃｰﾌﾞﾙﾌﾚｰﾑASSY+VL･GBA(TUA40-S16),,,
92,45TUA40974014B0,【R】TUA40-97401-4B0,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(TUA40) EG-ZN-C,,,
93,45TUA4097410501,【R】TUA40-97410-501,ﾘﾌﾀｰｼﾞｮｲﾝﾄ(TUA40)EG-ZN-C付,,,
