番号,品目,図番,品名,列1,列2,列3
231,45TU30112404500,【R】TU301-12404-500,ｳｫｰﾏｰｶﾊﾞｰ下(TU301),,,
232,45TU3011500650000S15,【R】TU301-S15-15006-500,ｻｰｷｯﾄﾊｳｼﾞﾝｸﾞ(TU301-S15),,,
233,45TU301150075A0,【R】TU301-15007-5A0,ｻｰｷｯﾄﾊｳｼﾞﾝｸﾞ(TU301),,,
234,45TU30126306400,【R】TU301-26306-400,ﾕﾆｯﾄ運搬棒ASSY(TU301),,,
235,45TU30134706500,【R】TU301-34706-500,SPｱｼﾞｬｽﾀ-(TU301),,,
236,45TU30146003502,【R】TU301-46003-502,ﾍﾞｰｼｯｸｳｪｲﾄ(TU301),,,
237,45TU301460055A1,【R】TU301-46005-5A1,TUGﾌﾟﾚｰﾄｳｪｲﾄ(TU301),,,
238,45TU301460065A2,【R】TU301-46006-5A2,TUGﾌﾞﾛｯｸｳｪｲﾄ(TU301),,,
239,45TU30167004500,【R】TU301-67004-500,除菌ﾌｨﾙﾀｰ取付板(TU301),,,
240,45TU30167503500,【R】TU301-67503-500,ｶｰﾄﾘｯｼﾞ押さえ板(TU301),,,
241,45TU30167505500,【R】TU301-67505-500,ｿｹｯﾄ押さえ板(TU301),,,
242,45TU30167509500,【R】TU301-67509-500,ｶｰﾄﾘｯｼﾞ目隠し板(TU301),,,
243,45TU30197402403,【R】TU301-97402-403,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(TU301),,,
244,45TU30197504400,【R】TU301-97504-400,ﾊﾞｯｸﾚｽﾄ昇降ﾌﾚｰﾑASSY(TU301),,,
245,45TU30197514501,【R】TU301-97514-501,ﾊﾞｯｸﾚｽﾄ固定ﾌﾚｰﾑA(TU301),,,
246,45TU30100004500E2,【R】TU301-E2-00004-500,ﾏｲｸﾛ固定軸B(TU301-E2),,,
247,45TU30100005500E2,【R】TU301-E2-00005-500,ﾏｲｸﾛ固定軸止め板(TU301-E2),,,
,CL201,,,,,
248,4551200113A0,【R】CL201 A0113,ﾁｬﾝﾈﾙA ASSY(CL201),,,
249,455132051500E3,【R】EL201-E3 0515,ﾁｬﾝﾈﾙA ASSY(old)(EL201-E3),,,
,ESA01,,,,,
250,45514200508500,【R】ESA01-00508-500,押さえ板(ESA01),,,
251,455142001095B0,【R】ESA01-00109-5B0,ｼｬﾌﾄﾅｯﾄ(ESA01),,,
252,45514200321500,【R】ESA01-00321-500,ハンガーシャフトナット(ESA01),,,
253,45514200308500,【R】ESA01-00308-500,回転軸ｼｬﾌﾄﾅｯﾄ(ESA01),,,
254,45514200323500 ,,回転軸ｼｬﾌﾄ(ESA01),,,
,FWG01,,,,,
255,45FWG01011105A0,【R】FWG01-01110-5A0,電磁弁ｽﾃｲ(FWG01),,,
256,45FWG01021065A0,【R】FWG01-02106-5A0,希釈ﾀﾝｸｼﾞｮｲﾝﾄ押え板(FWG01)EG-ZN-C付,,,
257,45FWG0102114500,【R】FWG01-02114-500,ﾍｯﾄﾞ固定板(FWG01)EG-ZN-C付,,,
258,45FWG01030025B0,FWG01-03002-5B0,ｴｱ用電磁弁ｽﾃｲ(FWG01),,,
259,45FWG01040215A0,FWG01-04021-5A0,ﾍﾞｰｽﾏﾆﾎｰﾙﾄﾞ取付板(FWG01),,,
260,45FWG01051015C1,【R】FWG01-05101-5C1,薬液供給ｽﾃｲ(FWG01),,,
261,45FWG01052015A0,FWG01-05201-5A0,計量器ﾍﾞｰｽ(FWG01),,,
262,45FWG01070014C0,【R】FWG01-07001-4C0,ｲﾝﾅｰﾌﾚｰﾑASSY (FWG01),,,
263,45FWG01070095A0,FWG01-07009-5A0,ｱﾝｶｰﾌﾟﾚｰﾄA (FWG01),,,
264,45FWG0109101500,FWG01-09101-500,ｱﾝｶｰﾌﾟﾚｰﾄB (FWG01),,,
265,45FWG0111101400,【R】FWG01-11101-400,ﾍﾞｰｽｲﾝﾅｰﾌﾚｰﾑ ASSY(FWG01),,,
,MUX,,,,,
266,45MUX0025203501,【R】MUX-25203-501,ﾊﾞｷｭｰﾑｷｬｯﾌﾟ(MUX)EG-ZN-C,,,
267,45MUX00413025A4,【R】MUX-41302-5A4,ﾊﾝｶﾞｰ取付板(1)(MUX)EG-ZN-C黒付,,,
268,45MUX00611015C0,【R】MUX-61101-5C0,ﾋﾟｯﾄﾌﾚｰﾑ(MUX)EG-ZN-C付,,,
269,45MUX00611135B0,【R】MUX-61113-5B0,ﾊﾞﾙﾌﾞ取付板(MUX),,,
270,45MUX00922014C0,【R】MUX-92201-4C0,ﾄﾚｰｱｰﾑｶﾞｲﾄﾞR_ASSY(MUX),,,
271,45MUX00922044A0,【R】MUX-92204-4A0,ﾄﾚｰｱｰﾑｶﾞｲﾄﾞL_ASSY(MUX),,,
272,45MUX0095104500,【R】MUX-95104-500,角度調節ﾛｯﾄﾞ(MUX),,,
273,45MUX00413125B3,【R】MUX-41312-5B3,ﾊﾝｶﾞｰ取付板（2）左右利A(MUX),,,
274,45MUX00611125A0,【R】MUX-61112-5A0,ﾊﾞﾙﾌﾞﾎｰﾙｶﾊﾞｰ(MUX),,,
275,45MUX00961045B1,【R】MUX-96104-5B1,ｶｯﾄﾌｨﾙﾀ取付板(MUX)EG-ZN-C付,,,
276,45MUX00413055A2,【R】MUX-41305-5A2,ﾊﾝｶﾞｰ取付板(2)右利B)(MUX)EG-ZN-C黒付,,,
277,45MUX0061125500,【R】MUX-61125-500,ﾋﾟｯﾄ固定板(MUX)EG-ZN-C付,,,
,RFA5,,,,,
278,452605026045B1,【R】RFA5-02604-5B1,ﾊﾝﾄﾞﾙﾎﾟｰﾙ下(RFA5)EG-ZN-C付,,,
279,452605026105A0,【R】RFA5-02610-5A0,ﾊﾝﾄﾞﾙ中間板(RFA5)EG-ZN-C付,,,
280,452605026085B0,【R】RFA5-02608-5B0,ﾊﾝﾄﾞﾙ支柱(RFA5)酸洗処理,納期：中1日,,
281,452605026035A0,【R】RFA5-02603-5A0,ﾊﾝﾄﾞﾙﾍﾞｰｽ(RFA5)EG-ZN-C付,,,
,TU90,,,,,
282,452510801902,【R】[ﾊﾞﾙｸ]TU90 8019-2,運搬棒,,,
,VM115,,,,,
283,45VM115100084B0,【R】VM115-10008-4B0,本体ｼｬｰｼASSY (VM115),,,
,VTC1/VTC3,,,,,
284,4525940540,【R】VTC1 0540-1,連結ﾌﾞﾗｹｯﾄASSY(VTC1),,,
285,45VTC0301217500,【R】VTC3-01217-500,ｿｹｯﾄ押さえ板(VTC3)EG-ZN-C付,,,
286,45VTC0341007500,【R】VTC3-41007-500,ﾄｯﾌﾟｶﾊﾞｰﾌﾚｰﾑ(VTC3)EG-ZN-C付,,,
,MTEC1/MTEU1,,,,,
287,45047285101501,【R】M140-85101-501,薬ﾋﾞﾝﾎﾙﾀﾞｰ受け板 (MTEU1-33001),,,
288,45047310110503,【R】M141-10110-503,ﾍﾟﾀﾞﾙ裏板(MTEC1 11011)三価ﾕﾆｸﾛ鍍金,,,
289,45047337101501,M141-37101-501,ｱｰﾑﾚｽﾄﾍﾞｰｽ板 (MTEC1-20701),,,
290,45047341205502,M141-41205-502,ｸﾗﾝｸA (MTEC1-22104),,,
291,45047344112504,M141-44112-504,固定ﾛｯﾄ (MTEC1-22207),,,
292,45047344136503,M141-44136-503,ﾛｯｸ本体B (MTEC1-22222),,,
293,45MTEC122229500,【R】MTEC1-22229-500,ﾍｯﾄﾞ取付台B(MTEC1),,,
294,45MTEC112001500,【R】MTEC1-12001-500,ﾍﾞｰｽ (MTEC1-12001),単価：3000,MTEC1-12001-500,42MTEC112001500
295,45MTEC112036401S1,MTEC1-S1-12036-401,ﾍﾞｰｽ(MTEC1-S1) ,単価：4500,MTEC1-S1-12036-401,
,学校関係,,,,,
296,45F012N00005502,【R】F-12N-00005-502,,,,
297,45900512001501,【R】NDUM22-12001-501,ﾁｭｰﾌﾞ取付板(NDUM22),,,
298,45900518014500 ,,ｴｱｰ電磁弁取付板(2連)(NDUM22),,,
299,45900518019500 ,,水用電磁弁取付板(2連)(NDUM22),,,
300,45TUA60146025B1,【R】TUA60-14602-5B1,ベースン回転軸 OP電動ベースン,,,
301,4566110006A1,【R】FC-600R A0006-1,VR取付板(FC 600R),,,
302,45901518055500,【R】TUMH23-18055-500,SC基板取付板(TUMH23),,,
,TU86,,,,,
303,4521703230,【R】TU86 A3230-1,SPｱｼﾞｬｽﾀｰ(TU86),,,
,OT-1,,,,,
304,4519060018,【R】OT-1 0018,排油ﾊﾟｲﾌﾟASSY(OT-1),細い,,
305,4519060019,【R】OT-1 0019-1,給油ﾊﾟｲﾌﾟASSY(OT-1),太い,,
,FP7,,,,,
306,4560110009,【R】FP-7 0009-1,ｼﾘﾝﾀﾞｰ(FP-7),,,
307,4560110013,【R】FP-7 0013-1,ﾗﾑ(FP-7),,,
308,4560110053,【R】FP7 0053,ｺﾈｸﾀｰASSY (FP7),,,
309,4560110068A0,FP7 A0068,ﾀﾝｸASSY(FP7),,,
,TU97N,,,,,
310,4525736031,【R】TU97N 6031,ﾋﾟｯﾄﾌﾚｰﾑASSY(TU97N),,,
311,452565345003,【R】[ﾊﾞﾙｸ]TU97 3450-3,ﾎﾙﾀﾞｰ固定軸(TU97),自動品,,
312,4525732105,【R】TU97N A2105,ﾎｰｽ固定金具(TU97N),,,
313,4525739011A1,【R】 TU97N A9011-1,ﾛｰﾗｰﾎﾙﾀﾞｰ(TU97N),,,
,NB1,,,,,
314,45NB00120220500,NB1-20220-500,固定板 (NB1),,,
,CSB1,,,,,
315,45260121006500,【R】CSB1-21006-500,ﾎﾙﾀﾞｰ底板(CSB1)EG-ZN-C付,,,
,MTEU1-ES-E6,,,,,
316,45MTEES00001500E6,R】MTEU1-ES-E6-00001-500,補強底板A(MTEU1-ES-E6),,,
,MT10,,,,,
317,450605210061501,【R】MT10-10061-501,基板取付板 (MT10),,,
,TLA01,,,,,
318,45TLA0100321500,【R】TLA01-00321-500,ﾊﾝｶﾞｰｼｬﾌﾄﾅｯﾄ(TLA01),,,
319,45TLA0100323500,【R】TLA01-00323-500,回転軸ｼｬﾌﾄ(TLA01),,,
329,45TLA0100405500,【R】TLA01-00405-500,ﾊﾝｶﾞｰｼｬﾌﾄ(TLA01),,,
,ECA40,,,,,
330,A000215-45,【R】EUA40-24101-401,アームレスト右ASSY,,,
331,A000225-45,【R】EUA40-24201-401,アームレスト左ASSY,,,
,MUX,,,,,
332,45MUX00621015A0,【R】MUX-62101-5A0,別置ﾋﾟｯﾄﾌﾚｰﾑ,,,
,TUA40（BS）,,,,,
333,45TUA4062158500S28,【R】TUA40-S28-62158-500,ピット固定板（BS）,,,
334,45TUA4060504500S28,【R】TUA40-S28-60504-500,メインスイッチ補強板,,,
335,45TUA4060508500S28,【R】TUA40-S28-60508-500,メインスイッチカバー,,,
336,45TUA40112025B0,【R】TUA40-11202-5B0,ベースン固定ホルダー（TUA40）,,,
,TU92,,,,,
337,4525651301,【R】TU97-1301,VCジョイントASSＹ,,,
,TUA20,,,,,
338,45TUA2012206500S4,【R】TUA20-S4-12206-500,鉢洗い電磁弁取付板,,,
,TU97,,,,,
339,4525656715A0,【R】TU97-A6715,マイクロSW取付板,,,
,TUA20,,,,,
340,45TUA2000001500E5,【R】TUA20-E5-00001-500,背板ウェイト,,,
341,45TUA2000002500E5,【R】TUA20-E5-00002-500,背板ウェイトC,,,
342,45TUA2000003500E5,【R】TUA20-E5-00003-500,リフタージョイントL,,,
343,45TUA2000004500E5,【R】TUA20-E5-00004-500,リフタージョイントR,,,
,,,,,,
,,,,,,
